date,famille_transport,ligne,incidents
2019-10-17,intercites,Paris-Caen-Cherbourg Trouville/Deauville,"['Mouvement social régional en Normandie.', 'Mises à quai tardives de trains au départ et retards de personnel à Paris Saint-Lazare.']"
2019-10-17,intercites,Paris-Rouen-Le Havre,
2019-10-17,intercites,Paris-Granville,
2019-10-17,intercites,Caen-Le Mans-Tours,['Panne de signalisation entre Le Mans et La Hutte.']
2019-10-17,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,['Travaux de modernisation des voies : pas de circulation.']
2019-10-17,intercites,Paris-Briançon,['Travaux de modernisation des voies : pas de circulation.']
2019-10-18,transilien,A,"['Grève sans préavis', ""Plusieurs signaux d'alarme en intra-muros (RATP).""]"
2019-10-18,transilien,B,['Grève sans préavis']
2019-10-18,transilien,C,"['Grève sans préavis', 'Bagage oublié à Versailles-Chantiers.']"
2019-10-18,transilien,D,['Grève sans préavis']
2019-10-18,transilien,E,['Grève sans préavis']
2019-10-18,transilien,H,['Grève sans préavis']
2019-10-18,transilien,J,['Grève sans préavis']
2019-10-18,transilien,K,['Grève sans préavis']
2019-10-18,transilien,L,['Grève sans préavis']
2019-10-18,transilien,N,"['Grève sans préavis', 'Bagage oublié suspect à Versailles-Chantiers', 'Ralentissement pour travaux à St-Cyr']"
2019-10-18,transilien,P,
2019-10-18,transilien,R,['Grève sans préavis']
2019-10-18,transilien,U,"['Grève sans préavis', 'Bagage oublié suspect à Versailles-Chantiers', 'Ralentissement pour travaux à St-Cyr']"
2019-10-18,transilien,T4,
2019-10-18,transilien,T11,"[""Panne d'une rame""]"
2019-10-18,ter,Grand Est,
2019-10-18,ter,Nouvelle-Aquitaine,['Grève sans préavis']
2019-10-18,ter,Auvergne-Rhône-Alpes,['Grève sans préavis']
2019-10-18,ter,Bourgogne-Franche-Comté,['Grève sans préavis']
2019-10-18,ter,Bretagne,['Grève sans préavis']
2019-10-18,ter,Centre-Val de Loire,['Grève sans préavis']
2019-10-18,ter,Occitanie,['Grève sans préavis']
2019-10-18,ter,Hauts-de-France,['Grève sans préavis']
2019-10-18,ter,Normandie,['Grève sans préavis']
2019-10-18,ter,Pays de la Loire,
2019-10-18,ter,Provence-Alpes-Côte d'Azur,['Grève sans préavis']
2019-10-18,tgv,nord,['Grève sans préavis']
2019-10-18,tgv,est,['Grève sans préavis']
2019-10-18,tgv,atlantique,['Grève sans préavis']
2019-10-18,tgv,sudest,['Grève sans préavis']
2019-10-18,tgv,ouigo,['Grève sans préavis']
2019-10-18,tgv,europe,['Grève sans préavis']
2019-10-18,intercites,Paris-Limoges-Toulouse,['Grève sans préavis']
2019-10-18,intercites,Paris-Clermont,['Grève sans préavis']
2019-10-18,intercites,Bordeaux-Marseille,['Conséquences de la grève nationale sans préavis']
2019-10-18,intercites,Nantes-Bordeaux,['Grève sans préavis']
2019-10-18,intercites,Nantes-Lyon,['Grève sans préavis']
2019-10-18,intercites,Toulouse-Bayonne,
2019-10-18,intercites,Clermont-Béziers,['Grève sans préavis']
2019-10-18,intercites,Paris-Caen-Cherbourg Trouville/Deauville,['Grève sans préavis']
2019-10-18,intercites,Paris-Rouen-Le Havre,['Grève sans préavis']
2019-10-18,intercites,Paris-Granville,['Grève sans préavis']
2019-10-18,intercites,Caen-Le Mans-Tours,['Grève sans préavis']
2019-10-18,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,['Grève sans préavis']
2019-10-18,intercites,Paris-Briançon,['Grève sans préavis']
2019-10-19,transilien,A,
2019-10-19,transilien,B,['Grève sans préavis']
2019-10-19,transilien,C,"['Grève sans préavis', 'Bagage oublié à Versailles-Chantiers.']"
2019-10-19,transilien,D,['Grève sans préavis']
2019-10-19,transilien,E,
2019-10-19,transilien,H,['Grève sans préavis']
2019-10-19,transilien,J,['Grève sans préavis']
2019-10-19,transilien,K,['Grève sans préavis']
2019-10-19,transilien,L,['Grève sans préavis']
2019-10-19,transilien,N,
2019-10-19,transilien,P,
2019-10-19,transilien,R,['Grève sans préavis']
2019-10-19,transilien,U,['Grève sans préavis']
2019-10-19,transilien,T4,"[""Travaux jusqu'au Lu 3 novembre""]"
2019-10-19,transilien,T11,
2019-10-19,ter,Grand Est,
2019-10-19,ter,Nouvelle-Aquitaine,['Grève sans préavis']
2019-10-19,ter,Auvergne-Rhône-Alpes,['Grève sans préavis']
2019-10-19,ter,Bourgogne-Franche-Comté,['Grève sans préavis']
2019-10-19,ter,Bretagne,['Grève sans préavis']
2019-10-19,ter,Centre-Val de Loire,['Grève sans préavis']
2019-10-19,ter,Occitanie,['Grève sans préavis']
2019-10-19,ter,Hauts-de-France,['Grève sans préavis']
2019-10-19,ter,Normandie,['Grève sans préavis']
2019-10-19,ter,Pays de la Loire,
2019-10-19,ter,Provence-Alpes-Côte d'Azur,['Grève sans préavis']
2019-10-19,tgv,nord,['Grève sans préavis']
2019-10-19,tgv,est,['Grève sans préavis']
2019-10-19,tgv,atlantique,['Grève sans préavis']
2019-10-19,tgv,sudest,['Grève sans préavis']
2019-10-19,tgv,ouigo,['Grève sans préavis']
2019-10-19,tgv,europe,
2019-10-19,intercites,Paris-Limoges-Toulouse,['Grève sans préavis']
2019-10-19,intercites,Paris-Clermont,['Grève sans préavis']
2019-10-19,intercites,Bordeaux-Marseille,['Grève sans préavis']
2019-10-19,intercites,Nantes-Bordeaux,['Grève sans préavis']
2019-10-19,intercites,Nantes-Lyon,['Grève sans préavis']
2019-10-19,intercites,Toulouse-Bayonne,['Grève sans préavis']
2019-10-19,intercites,Clermont-Béziers,['Grève sans préavis']
2019-10-19,intercites,Paris-Caen-Cherbourg Trouville/Deauville,['Grève sans préavis']
2019-10-19,intercites,Paris-Rouen-Le Havre,['Grève sans préavis']
2019-10-19,intercites,Paris-Granville,['Grève sans préavis']
2019-10-19,intercites,Caen-Le Mans-Tours,['Grève sans préavis']
2019-10-19,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,['Grève sans préavis']
2019-10-19,intercites,Paris-Briançon,['Grève sans préavis']
2019-10-20,transilien,A,
2019-10-20,transilien,B,['Grève sans préavis']
2019-10-20,transilien,C,['Reprise progressive du trafic après la grève sans préavis']
2019-10-20,transilien,D,['Reprise progressive du trafic après la grève sans préavis']
2019-10-20,transilien,E,
2019-10-20,transilien,H,
2019-10-20,transilien,J,
2019-10-20,transilien,K,['Reprise progressive du trafic après la grève sans préavis']
2019-10-20,transilien,L,
2019-10-20,transilien,N,
2019-10-20,transilien,P,
2019-10-20,transilien,R,['Reprise progressive du trafic après la grève sans préavis']
2019-10-20,transilien,U,
2019-10-20,transilien,T4,"[""Travaux jusqu'au lundi 3 novembre""]"
2019-10-20,transilien,T11,
2019-10-20,ter,Grand Est,
2019-10-20,ter,Nouvelle-Aquitaine,['Grève sans préavis']
2019-10-20,ter,Auvergne-Rhône-Alpes,['Grève sans préavis']
2019-10-20,ter,Bourgogne-Franche-Comté,['Grève sans préavis']
2019-10-20,ter,Bretagne,
2019-10-20,ter,Centre-Val de Loire,['Grève sans préavis']
2019-10-20,ter,Occitanie,['Grève sans préavis']
